movieCd,movieNm,showTm,prdtYear,openDt,typeNm,nations,genres,directors,actors,companys,audits,w1,w2,w3,w4,tot
20150971,해빙,117,2017,20170301,장편,한국,스릴러,이수연,조진웅|신구|김대명,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,1006919,1175424,1203180,1203595,1204600
20168183,콩: 스컬 아일랜드,118,2017,20170308,장편,미국,판타지|액션|어드벤처,조던 복트-로버츠,톰 히들스턴|사무엘 L. 잭슨|존 굿맨|브리 라슨,워너브러더스 코리아(주),12세이상관람가,1195510,1609890,1683146,1689700,1689717
20168750,파도가 지나간 자리,132,2016,20170308,장편,영국|미국|뉴질랜드,멜로/로맨스|드라마,데릭 시엔프랜스,마이클 패스벤더|알리시아 비칸데르|레이첼 와이즈,CGV아트하우스,15세이상관람가,55475,74284,79696,81898,82736
20170761,걸 온 더 트레인,112,2016,20170309,장편,미국,미스터리|드라마|스릴러,테이트 테일러,에밀리 블런트,씨제이이앤엠(주),청소년관람불가,27148,27455,27990,28690,29190
20164721,미녀와 야수,129,2017,20170316,장편,미국,뮤지컬|멜로/로맨스|판타지,빌 콘돈,엠마 왓슨|댄 스티븐스|루크 에반스,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,2075794,3445348,4274946,4711186,5138328
20170221,골드,120,2016,20170322,장편,미국,어드벤처|드라마,스티븐 개건,매튜 맥커너히,CGV아트하우스,15세이상관람가,23431,25137,25172,25281,25659
20167363,히든 피겨스,126,2016,20170323,장편,미국,드라마,데오도르 멜피,타라지 P. 헨슨|옥타비아 스펜서|자넬 모네,이십세기폭스코리아(주),12세이상관람가,208809,323574,384246,415406,449518
20162181,프리즌,124,2016,20170323,장편,한국,액션|범죄,나현,한석규|김래원,(주)쇼박스,청소년관람불가,1700909,2425884,2771331,2891150,2931897
20167902,보통사람,121,2017,20170323,장편,한국,드라마,김봉한,손현주|장혁,오퍼스픽쳐스(유),15세이상관람가,329602,379760,383048,383335,383336
20179442,밤의 해변에서 혼자,100,2016,20170323,장편,한국,드라마,홍상수,김민희,(주)영화제작전원사 |(주)콘텐츠판다,청소년관람불가,32664,45615,50611,53240,57110
