movieCd,movieNm,openDt,nations,directors,actors,companys,audits,w1,w2,w3,w4,tot,hCnt,애니메이션,멜로/로맨스,액션,가족,뮤지컬,범죄,미스터리,전쟁,다큐멘터리,어드벤처,공연,코미디,드라마,서부극(웨스턴),스릴러,판타지,SF,공포(호러),사극
20165130,나의 산티아고,20160714,1,94722,19874,1,2,25970,46607,63805,75919,94722,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20156564,부산행,20160720,3,1822170,518007,3,3,6659075,9256052,10371044,11007627,11567662,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20161286,아이스 에이지: 지구 대충돌,20160720,2,1022509,121443,3,1,339904,533400,550685,552599,553760,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
20164521,극장판 요괴워치: 염라대왕과 5개의 이야기다냥!,20160720,1,440843,65084,3,1,189044,308541,322548,329573,330725,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20156250,인천상륙작전,20160727,3,2460173,763833,3,2,3903979,5669373,6526011,6847431,7051237,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
20163189,태풍이 지나가고,20160727,1,91349,23314,1,2,35530,58293,75759,82446,93537,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20161907,제이슨 본,20160727,2,765472,584380,3,3,2016091,2466123,2572560,2600532,2611966,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20152963,수어사이드 스쿼드,20160803,2,273677,210747,3,3,1644839,1854646,1892067,1897734,1898220,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20156082,마이펫의 이중생활,20160803,2,1363463,240530,3,1,1275932,1983323,2316106,2457841,2520700,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20150979,덕혜옹주,20160803,3,1093043,1355848,3,2,2398837,4221620,5025717,5408326,5599995,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
20162002,명탐정 코난: 순흑의 악몽,20160803,1,502158,113783,3,2,398209,492775,505196,507689,522344,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
20150968,국가대표 2,20160810,3,532699,521124,3,2,562630,672629,700926,708550,710166,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20154910,터널,20160810,3,3690246,1426939,2,2,3763657,5503612,6544954,7021196,7120780,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20148460,서울역,20160817,3,1822170,775957,3,3,137930,145804,146610,146798,147037,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20163043,갤럭시 히어로즈: 라쳇 앤 클랭크,20160817,2,120053,22699,1,1,40438,45174,46569,46589,46793,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20150567,스타트렉 비욘드,20160817,2,1080069,169367,3,2,819394,1065748,1139573,1145550,1157472,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20165981,파워배틀 와치카 미니카 배틀리그: 불꽃의 질주,20160817,3,89699,0,1,1,24486,32807,34524,34761,35668,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20163217,라이트 아웃,20160824,2,1203533,384542,3,3,706849,1033868,1094927,1109037,1111284,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20166901,플로렌스,20160824,1,71063,88809,2,3,114065,135729,137668,138757,139841,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20162404,고스트버스터즈,20160825,2,143395,895931,3,2,351507,500957,512422,514579,515553,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
20167261,메카닉: 리크루트,20160831,2,1929736,183567,1,3,470847,531198,549837,551796,552006,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
20167563,이퀄스,20160831,2,21693,405515,2,3,65862,68015,68602,68792,68902,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
20162968,거울나라의 앨리스,20160907,2,513202,68775,1,2,272918,467307,510182,511787,513202,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
20159648,"고산자, 대동여지도",20160907,3,3413011,744610,3,1,445665,889531,965448,970333,974262,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20159646,밀정,20160907,3,1921349,2361328,3,3,3226066,6352011,7077367,7390553,7500457,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20165941,로빈슨 크루소,20160907,1,408404,27877,1,1,65295,116740,128317,133543,139392,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
20166721,장난감이 살아있다,20160907,1,81054,420151,1,1,79144,132560,140358,141639,143100,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20166541,달빛궁궐,20160907,3,153273,936065,3,1,81230,140058,148325,150461,153273,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
20167154,드림 쏭,20160914,2,117615,62324,2,1,173523,206752,224767,229393,234387,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20163294,매그니피센트 7,20160914,2,214758,147668,3,3,756010,914323,920314,921088,921317,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20167839,벤허,20160914,2,814424,510,3,2,1003113,1293573,1373578,1394721,1400397,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
