,date,rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
79,20120108,10,10,0,OLD,20112709,극장판 포켓몬스터 베스트 위시「비크티니와 백의 영웅 레시라무」,2011-12-22,86262000,1.6,-22613000,-20.8,2314523500,12541,-3789,-23.2,349214,152,243
80,20120109,1,1,0,OLD,20112207,미션임파서블:고스트프로토콜,2011-12-15,480009500,28.3,-1176099000,-71,48189037500,64611,-146613,-69.4,6325521,534,2405
81,20120109,2,2,0,OLD,20113671,원더풀 라디오,2012-01-05,329751000,19.4,-601775500,-64.6,3337318000,45997,-77256,-62.7,449268,425,2044
82,20120109,3,3,0,OLD,20112621,셜록홈즈 : 그림자 게임,2011-12-21,215016500,12.7,-511007000,-70.4,14351267000,29451,-64388,-68.6,1932038,301,1494
83,20120109,4,4,0,OLD,20113260,퍼펙트 게임,2011-12-21,162964000,9.6,-280643500,-63.3,8900827000,22594,-34684,-60.6,1198896,307,1090
84,20120109,5,5,0,OLD,20110295,마이 웨이,2011-12-21,113428000,6.7,-270416500,-70.4,15246077500,15680,-34187,-68.6,2042473,388,1375
85,20120109,6,6,0,OLD,20113271,프렌즈: 몬스터섬의비밀 ,2011-12-29,78065000,4.6,-302344500,-79.5,3229705000,11129,-38182,-77.4,436265,252,671
86,20120109,7,7,0,OLD,20113652,다크아워,2012-01-05,81556500,4.8,-207190500,-71.8,1045377000,10298,-24694,-70.6,126953,293,1236
87,20120109,8,8,1,OLD,20113381,오싹한 연애,2011-12-01,57050500,3.4,-87549500,-60.5,21648621500,7828,-11140,-58.7,2960686,138,431
88,20120109,9,9,-1,OLD,19940256,라이온 킹,1994-07-02,52907000,3.1,-175507000,-76.8,3035709500,5048,-15902,-75.9,283973,187,423
89,20120109,10,10,0,NEW,20113636,네버엔딩 스토리,2012-01-18,28088000,1.7,28088000,100,28088000,3511,3511,100,3511,7,11
90,20120110,1,1,0,OLD,20112207,미션임파서블:고스트프로토콜,2011-12-15,467868500,26.4,-12141000,-2.5,48656906000,62805,-1806,-2.8,6388326,531,2375
