,movieNm,1주차,2주차,3주차,4주차
425,저수지 게임,72921,104790,119189,123356
426,저스티스 리그,1320719,1687925,1769615,1785920
427,점박이 한반도의 공룡2 : 새로운 낙원,435886,532511,547515,548781
428,정글북,1082302,1865243,2298297,2503380
429,제이슨 본,2016091,2466123,2572560,2600532
430,젝스키스 에이틴,27251,35578,38608,41613
431,조선명탐정: 흡혈괴마의 비밀,1362268,2239891,2436078,2443038
432,조이,139857,167943,169927,170801
433,조작된 도시,1511076,2189513,2462566,2501791
434,존 윅 - 리로드,220625,257445,269907,272668
435,좋아해줘,622398,813712,843534,846603
436,죄 많은 소녀,11433,16815,19615,20368
437,주토피아,647314,1574413,1975196,2426840
438,죽여주는 여자,71232,95019,107792,114228
439,중2병이라도 사랑이 하고 싶어! 테이크 온 미,16874,21910,24219,25828
440,쥬라기 월드: 폴른 킹덤,3999886,4901109,5395800,5621555
441,쥬만지: 새로운 세계,1135453,1616656,1701612,1710330
442,지금 만나러 갑니다,1163246,2027893,2403593,2560620
443,지니어스,19924,24351,26044,26647
444,지랄발광 17세,52471,78115,83018,83258
445,지오스톰,858015,1013200,1027461,1028370
446,창궐,1348715,1566695,1595886,1598319
447,채비,112318,146675,163533,171066
448,챔피언,890944,1096163,1122429,1126826
449,청년경찰,2910602,4229505,5045044,5459945
450,체실 비치에서,17153,25616,28952,29906
451,최강전사 미니특공대: 영웅의 탄생,87395,112474,115306,116082
452,출국,58835,75668,79713,80891
453,침묵,407888,488125,493191,494057
454,카3: 새로운 도전,325396,460745,481942,486451
455,카페 소사이어티,74511,103378,117014,121653
456,캐롤,145373,260555,290744,304147
457,캐리비안의 해적: 죽은 자는 말이 없다,1865118,2712372,2924611,3028200
458,캡틴 스터비,19442,23335,24091,24740
459,캡틴 아메리카: 시빌 워,4871540,7648143,8355440,8604338
460,캡틴 판타스틱,11322,13727,14169,14247
461,커다랗고 커다랗고 커다란 배,67659,91344,93833,94427
462,커뮤터,264304,281925,283322,283714
463,커튼콜,5166,5385,5463,5513
464,컨저링 2,827336,1439894,1727331,1862793
465,컨택트,474040,594826,620103,630112
466,코코,1237333,2072884,2770181,3144631
467,콜 미 바이 유어 네임,99300,141862,164110,174661
468,콩: 스컬 아일랜드,1195510,1609890,1683146,1689700
469,콰이어트 플레이스,351730,490995,508878,519971
470,쿠보와 전설의 악기,18203,26639,30017,30499
471,쿵푸팬더3,1925530,3326750,3800631,3941321
472,크레이지 리치 아시안,138506,151254,153674,154041
473,클로버필드 10번지,301274,344697,356423,357264
474,킬러의 보디가드,958066,1362439,1533682,1612986
475,킬링 디어,31297,48015,55144,57744
476,킹 아서: 제왕의 검,383668,414832,415605,415714
477,킹 오브 프리즘 - 프라이드 더 히어로,21002,31149,39612,47664
478,킹 오브 프리즘,4101,10761,23082,36380
479,킹스맨: 골든 서클,3377882,4631034,4869026,4937082
480,타샤 튜더,9399,19585,27961,34549
481,탐정 홍길동: 사라진 마을,949965,1287089,1407781,1427932
482,탐정: 리턴즈,1304215,2342325,2948105,3098463
483,태양 아래,13420,24298,26256,27688
484,태풍이 지나가고,35530,58293,75759,82446
485,택시운전사,5812815,9228696,10740398,11577658
486,터널,3763657,5503612,6544954,7021196
487,터닝메카드W: 블랙미러의 부활,303598,402912,425108,428663
488,테일 오브 테일즈,19917,26319,29107,29823
489,토니스토리2: 고철왕국의 친구들,13479,15292,15881,16395
490,토르: 라그나로크,2637562,3765884,4392305,4638245
491,토마스와 친구들: 용감한 기관차와 괴물소동,18345,23807,25870,26325
492,툴리,29992,35427,36501,36718
493,튤립 피버,44120,50823,52757,53006
494,트랜스포머: 최후의 기사,2015435,2488693,2584236,2612964
495,트럼보,45189,51168,56555,59501
496,트롤,334536,594622,645811,670783
497,트루스 오어 데어,207840,302245,309899,310320
498,특별수사: 사형수의 편지,764396,1116877,1229978,1241884
499,특별시민,1208488,1351694,1359721,1360335
500,파도가 지나간 자리,55475,74284,79696,81898
501,파리로 가는 길,38162,69834,91149,103310
502,파운더,26370,32747,34153,34435
503,파워배틀 와치카 미니카 배틀리그: 불꽃의 질주,24486,32807,34524,34761
504,파워배틀 와치카: 와치가면의 역습,19701,22350,22805,23290
505,파이널 포트레이트,12374,15445,16436,16886
506,판도라,1947524,3443787,4106836,4480127
507,패딩턴 2,176792,255832,320132,333067
508,패터슨,22002,35206,43302,49685
509,퍼스트맨,535840,655743,662576,663830
510,퍼시픽 림: 업라이징,970074,1068265,1075063,1076107
511,페르디난드,431600,512168,527310,532426
512,페이트 스테이 나이트 헤븐즈필 제1장 프레시지 플라워,26463,34338,37850,40487
513,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,181460,261862,279192,281752
514,폴란드로 간 아이들,31562,37536,40826,43229
515,프리즌,1700909,2425884,2771331,2891150
516,플래그 더 문,40140,42848,43630,43704
517,플로렌스,114065,135729,137668,138757
518,플로리다 프로젝트,50720,67981,79689,85850
519,플립,191288,301911,342576,352008
520,피터 래빗,233386,316658,375181,383676
521,피터와 드래곤,69358,90058,101247,107331
522,피터와 모글리의 크리스마스 어드벤처,22527,29340,31426,33103
523,하루,762651,1076472,1125069,1129127
524,하이큐!! 끝과 시작,51638,66779,73046,75055
525,하이큐!! 승자와 패자,25528,32468,36024,37201
526,하이큐!! 재능과 센스,16232,26206,33183,35284
527,하이큐!! 콘셉트의 싸움,26455,26867,26912,26919
528,할로윈,101891,107467,107651,108000
529,해빙,1006919,1175424,1203180,1203595
530,해어화,303873,436214,471621,480789
531,해피 데스데이,671164,1127354,1345971,1378840
532,해피 투게더,21596,24605,26021,26759
533,핵소 고지,152375,168535,174222,175197
534,허리케인 하이스트,190639,213449,214010,214255
535,허스토리,246998,297509,317714,327541
536,헌츠맨: 윈터스 워,346027,439610,441104,441383
537,헌터 킬러,45765,55644,56394,56587
538,헤이트풀8,92834,111986,116484,117396
539,"헤일, 시저!",28796,32095,33396,33965
540,협상,1312746,1880917,1948885,1958986
541,형,1461481,2372436,2781521,2965327
542,호두까기 인형과 4개의 왕국,303562,444191,501743,517122
543,호비와 동화나라 대모험,10608,14150,15565,15641
544,호비와 매직 아일랜드,11149,13486,15119,15865
