,movieCd,movieNm,point,viewer
2703,20129166,19곰 테드,7.36,"170,647 명"
2704,20127634,메리다와 마법의 숲,7.62,"1,231,261 명"
2708,20128270,루퍼,벨기에,"571,922 명"
2709,20128832,나이트폴,"태국, 싱가포르","13,307 명"
2777,20129227,익스트림 No.13,6.31,"12,408 명"
2779,20129260,우리도 사랑일까,8.26,"74,221 명"
2817,20124057,용의자X,7.65,"1,552,055 명"
2819,20129626,위험한 관계,8.01,"298,086 명"
2825,20113886,회사원,6.50,"1,110,523 명"
2847,20129766,프랑켄위니,8.19,"44,377 명"
2896,20124070,강철대오:구국의 철가방,6.45,"233,211 명"
2916,20120021,조조-황제의 반란,6.55,"75,301 명"
2918,20129146,인피니트 콘서트 세컨드 인베이전 에볼루션 더 무비 3D,8.71,"39,577 명"
2959,20120221,아이언 스카이,6.70,0
2985,20129079,파라노말 액티비티4,5.03,"54,461 명"
2986,20121241,비정한 도시 감독판,0,0
2988,20124054,늑대소년,독일,"6,655,068 명"
2990,20113461,007 스카이폴,7.88,"2,376,266 명"
2999,20129790,아르고,8.20,"140,736 명"
3027,20124075,내가 살인범이다,8.48,"2,729,830 명"
3046,20124917,복숭아나무,7.18,"33,902 명"
3047,20120127,파괴자들,3.77,28 명
3099,20113471,오페라의 유령 : 25주년 특별 공연,9.27,"105,298 명"
3108,20081818,비지터,"네덜란드, 불가리아","11,516 명"
3118,20120107,내가 고백을 하면,8.61,"11,969 명"
3124,20120562,업사이드 다운,포르투갈,0
3126,20126089,자칼이 온다,6.30,"210,278 명"
3127,20120362,나우이즈굿 ,8.85,"73,421 명"
3138,20120942,밀림의 왕자 레오2,8.08,"44,988 명"
3139,20125446,터치,한국,"18,393 명"
3168,20127546,남영동1985,7.23,"332,643 명"
3188,20120430,철가방 우수氏,9.11,"92,404 명"
3189,20125406,음치 클리닉 ,6.91,"338,168 명"
3190,20126469,브레이킹 던 part2,8.73,"2,654,817 명"
3196,20120421,살인소설,5.99,"49,685 명"
3199,20124348,돈 크라이 마미,6.44,"975,462 명"
3238,20126407,가디언즈,캐나다,"1,081,096 명"
3306,20088506,26년,6.39,"2,963,652 명"
3339,20124399,반창꼬,8.57,"2,475,797 명"
3349,20121281,내 인생의 마지막 변화구 ,8.31,"30,037 명"
3359,20120943,아워 이디엇 브라더 ,8.51,"27,045 명"
3377,20124936,나의 PS 파트너 ,8.24,"1,831,741 명"
3402,20123161,늑대소년-확장판,8.65,0
3408,20120661,저지드레드 3D,7.38,0
3448,20129388,주먹왕 랄프,9.34,"1,758,891 명"
3459,20128687,가문의 영광5 - 가문의 귀환,6.06,"1,160,021 명"
3470,20125048,호빗: 뜻밖의 여정,8.41,"2,818,993 명"
3473,20112561,원 데이,한국,"204,391 명"
3479,20122192,극장판 파워레인저: 캡틴포스 VS 미라클포스 199 히어로 대결전 ,7.79,"110,771 명"
3489,20121244,코드네임 제로니모,6.16,"23,462 명"
3523,20128274,레미제라블,프랑스,"5,926,036 명"
3535,20128247,극장판 포켓몬스터 베스트위시「큐레무 VS 성검사 케르디오」,8.14,0
3536,20123217,극장판 포켓몬스터 베스트위시「메로엣타의 반짝반짝 음악회」,10.00,0
3547,20124039,타워,"프랑스, 노르웨이, 스웨덴","5,181,244 명"
3596,20122523,니코: 산타비행단의 모험,8.42,"407,448 명"
3597,20126388,잠베지아: 신비한 나무섬의 비밀,8.70,"472,692 명"
3662,20128386,라이프 오브 파이,8.85,"1,634,734 명"
3689,20121622,호두까기인형 3D,9.07,"46,815 명"
3740,20124935,박수건달,8.11,"3,897,969 명"
3743,20124024,클라우드 아틀라스,8.22,"453,082 명"
3746,20126583,마이 리틀 히어로,8.40,"186,191 명"
3755,20122803,파이스토리 : 악당상어 소탕작전,8.70,"267,440 명"
3821,20123333,잭 리처,7.13,"612,328 명"
3822,20129156,몬스터 호텔,8.59,"1,071,436 명"
3823,20121861,더 임파서블,8.17,"625,192 명"
3839,20127593,7번방의 선물,8.83,"12,811,714 명"
3888,20123681,뽀로로 극장판 슈퍼썰매 대모험,8.58,"931,953 명"
3889,20123041,마마,폴란드,0
3896,20048799,명탐정 코난:은빛 날개의 마술사,8.91,"176,495 명"
3941,20124083,베를린,미국,"7,166,688 명"
3957,20125990,남쪽으로 튀어,7.81,"832,894 명"
3989,20123221,부도리의 꿈 ,5.10,"18,981 명"
4006,20126087,남자사용설명서,6.96,"507,913 명"
4022,20123387,다이하드: 굿 데이 투 다이,7.11,"1,438,056 명"
4027,20124401,신세계,한국,"4,684,571 명"
4034,20123421,눈의 여왕,8.56,"209,120 명"
4038,20010292,몬스터 주식회사,9.29,"870,759 명"
4039,20123484,실버라이닝 플레이북,8.60,"129,554 명"
4079,20113917,파라노만,8.10,"10,942 명"
4099,20123422,라스트 스탠드,미국,"66,791 명"
4104,20133981,헨젤과 그레텔: 마녀 사냥꾼 3D,0,0
4107,20123644,해양경찰 마르코,6.88,"181,740 명"
4109,20000067,러브레터,일본,"111,172 명"
4173,20128747,분노의 윤리학,6.71,"225,618 명"
4174,20133924,빌리와 용감한 녀석들 2 ,7.36,"306,837 명"
4176,20123821,더 자이언트,7.93,"157,986 명"
4234,20122843,차이니즈 조디악,7.82,"315,314 명"
4235,20120467,스토커,한국,0
4242,20123641,잭 더 자이언트 킬러,7.70,"956,154 명"
4247,20134042,스카이포스 3D,7.34,"51,553 명"
4286,20129368,파파로티,8.27,"1,716,438 명"
4289,20123603,플라이트,8.03,"20,553 명"
4299,20134407,사이코메트리,3.50,60 명
4309,20134102,글래디에이터: 로마 영웅 탄생의 비밀 3D,5.19,0
4313,20122625,오즈 그레이트 앤드 파워풀,7.16,"350,563 명"
4316,20129262,제로 다크 서티,8.20,"109,012 명"
4359,20128690,연애의 온도,7.46,"1,865,354 명"
4379,20135241,웜 바디스,8.53,"1,169,839 명"
4385,20134581,링컨,7.76,"137,505 명"
4388,20134222,알렉스 크로스,8.14,"22,978 명"
4449,20134141,드림팀,7.97,"9,483 명"
4454,20126306,장고:분노의 추적자,8.52,"262,137 명"
4456,20122231,안나 카레니나,9.00,1 명
4458,20134983,원피스 극장판 Z,9.02,"93,239 명"
4459,20120108,지슬 - 끝나지 않은 세월2,6.23,"145,398 명"
4478,20135942,돌핀 : 꿈꾸는 다니엘의 용감한 모험,6.58,"53,744 명"
4509,20126671,런닝맨,7.72,"187,777 명"
4519,20125333,전설의 주먹,7.57,"1,744,585 명"
4520,20113972,지.아이.조 2,7.07,"1,855,917 명"
4525,20134701,웃는 남자,한국,"57,948 명"
4595,20134869,호스트,영국,"42,972 명"
4596,20119971,끝과 시작,한국,"100,030 명"
4598,20135581,호프 스프링즈,8.50,"55,273 명"
4660,20134181,오블리비언,8.25,"1,515,356 명"
4668,19950095,레옹 ,일본,"45,907 명"
4686,20136783,꼬마영웅 경찰차 프로디,7.93,"25,149 명"
4719,20120381,피노키오: 당나귀 섬의 비밀,7.06,"68,721 명"
4729,20133881,러스트 앤 본,8.44,"32,200 명"
4732,20123201,노리개,7.37,"3,664 명"
4734,20136138,송 포 유,8.71,"217,314 명"
4735,20134603,로마 위드 러브,8.18,"182,633 명"
4736,20136662,뷰티풀 크리처스,7.88,"82,995 명"
4739,20136202,테이크다운,미국,"19,415 명"
4789,20121549,전국노래자랑,8.00,"978,413 명"
4800,20121621,아이언맨 3,8.86,"9,001,679 명"
4805,20136921,에반게리온: Q,6.92,"62,159 명"
4808,20136741,짱구는 못말려 극장판:태풍을 부르는 나와 우주의 프린세스,8.29,"217,320 명"
4848,20120426,고령화 가족,8.15,"1,141,222 명"
4865,20030072,니모를 찾아서,9.22,"73,483 명"
4867,20137422,폭풍우 치는 밤에: 비밀 친구,7.94,"38,347 명"
4914,20135362,크루즈 패밀리,9.24,"943,806 명"
4923,20122784,몽타주,인도,"2,095,592 명"
4934,20128691,미나문방구,7.06,"334,323 명"
4943,20137082,스니치,8.45,"41,480 명"
4948,20137241,사랑의 가위바위보,7.63,"1,882 명"
4949,20123602,셰임,인도,"19,565 명"
4985,20135221,분노의 질주: 더 맥시멈,8.81,"1,790,457 명"
4998,20123329,스타트렉 다크니스,8.97,"1,607,555 명"
5009,20137061,사랑은 타이핑 중!,8.47,"13,115 명"
5010,20136219,위대한 개츠비,8.40,"1,445,707 명"
5027,20122221,앤젤스 셰어: 천사를 위한 위스키,7.59,"18,111 명"
5058,20134562,비포 미드나잇,8.15,"209,591 명"
5069,20127597,뜨거운 안녕,8.93,"47,105 명"
5128,20126672,은밀하게 위대하게,7.12,"6,959,083 명"
5138,20136058,무서운 이야기 2,6.62,"495,535 명"
5151,20137426,애프터 어스,미국,"537,920 명"
5159,20137181,저스트 어 이어 ,6.36,"6,312 명"
5214,20137963,백악관 최후의 날,5.41,"181,257 명"
5229,20138201,극장판 썬더일레븐 GO VS 골판지 전사 W,8.44,"36,492 명"
5239,20138350,쾌걸 조로리의 대대대대모험,1.27,"27,598 명"
5278,20122122,월드 워 Z,8.22,"5,237,525 명"
5290,20137961,맨 오브 스틸,7.90,"2,256,913 명"
5335,20129114,더 웹툰: 예고살인,7.22,"1,200,772 명"
5338,20138141,더 콜,루마니아,"88,953 명"
5349,19930176,쥬라기 공원,2.28,"5,661,128 명"
5358,20122783,감시자들,7.76,"5,509,019 명"
5363,20120103,닥터,5.67,"68,312 명"
5366,20138712,꼭두각시,5.50,"32,628 명"
5368,20137081,이별계약,8.33,"18,343 명"
5369,20126253,토토의 움직이는 숲,7.25,"79,654 명"
5418,20139081,타이치0 3D,6.89,"17,480 명"
5428,20137815,화이트 하우스 다운,7.43,0
5435,20138884,빅 웨딩,6.47,"34,466 명"
5438,20139222,라스트 엑소시즘: 잠들지 않는 영혼,6.82,"9,442 명"
5502,20136862,론 레인저,7.31,"388,235 명"
5508,20139263,쿵후팬더: 영웅의 탄생,6.24,"74,250 명"
5519,20134044,빅 픽처,6.69,"25,095 명"
5546,20124082,미스터 고,7.76,"1,329,061 명"
5548,20136961,퍼시픽 림,6.67,"1,077,240 명"
5557,20120801,48미터,8.94,"13,886 명"
5559,20139121,인 더 하우스,8.38,"18,001 명"
5567,20139141,토니 스토리: 깡통제국의 비밀,7.12,"67,663 명"
5576,20139723,사이드 이펙트,1.67,1 명
5578,20138982,마스터 ,8.10,"7,150,586 명"
5589,20120110,명왕성,한국,"16,866 명"
5629,20139383,극장판 도라에몽: 진구의 비밀도구 박물관,8.89,"122,362 명"
5638,20137549,터보,9.05,"1,925,154 명"
